a ar a
a de a
a es a
a ja a
a pt a
a vi a
a zh a
aachen ar آخن
aachen de aachen
aachen es aquisgrán
aachen ja アーヘン
aachen pt aachen
aachen ru ахен
aachen vi aachen
aachen zh 亚琛
aalborg ar آلبورغ
aalborg de aalborg
aalborg es aalborg
aalborg fr aalborg
aalborg ja オールボー
aalborg pt aalborg
aalborg ru ольборг
aalborg vi aalborg
aalborg zh 奥尔堡
aarhus ar آرهوس
aarhus de aarhus
aarhus es aarhus
aarhus fr aarhus
aarhus ja オーフス
aarhus pt aarhus
aarhus ru орхус
aarhus vi aarhus
aarhus zh 奥胡斯
aaron ar هارون
aaron es aarón
aaron ja アロン
aaron pt aarão
aaron ru аарон
aaron vi aaron
aaron zh 亞倫
aba de aba
aba es aba
aba fr aba
aba ja aba
aba pt aba
aba ru аба
aba zh 阿巴
abad de abad
abad fr abad
abad pt abad
abad ru абад
abandon fr abandon
abandon pt abandono
abbas de abbas
abbas es abbas
abbas fr abbas
abbas ja アッバース
abbas ru аббас
abbas zh 阿拔斯
abbasid fr abbassides
abbasid ru аббасиды
abbess es abadesa
abbess fr abbesse
abbess ja 女子修道院長
abbess pt abadessa
abbess ru аббатиса
abbess zh 女隐修院院长
abbey de abtei
abbey es abadía
abbey fr abbaye
abbey ja 修道院
abbey pt abadia
abbey ru аббатство
abbey zh 修道院
abbot de abt
abbot es abad
abbot fr abbé
abbot ja 修道院長
abbot pt abade
abbot ru аббат
abbot zh 修道院长
abbott de abbott
abbott fr abbott
abbott ja アボット
abbott pt abbott
abbott ru эбботт
abbreviation de abkürzung
abbreviation es abreviatura
abbreviation fr abréviation
abbreviation ja 略語
abbreviation pt abreviatura
abbreviation ru аббревиатура
abbreviation zh 縮寫
abdication de abdikation
abdication es abdicación
abdication fr abdication
abdication ja 退位
abdication pt abdicação
abdication ru абдикация
abdication zh 逊位
abdomen ar بطن
abdomen de abdomen
abdomen es abdomen
abdomen fr abdomen
abdomen ja 腹
abdomen pt abdómen
abdomen ru живот
abdomen vi bụng
abdomen zh 腹
abduction es abducción
abduction fr abduction
abduction pt abdução
abduction ru абдукция
abdul de abdul
abdul ja アブドゥル
abdul ru абдул
abdullah de abdullah
abdullah ja アブドゥッラー
abdullah pt abdullah
abdullah ru абдуллах
abdullah zh 阿卜杜拉
abe de abe
abe es abe
abe fr abe
abe ja abe
abe pt abe
abel es abel
abel fr abel
abel pt abel
abel ru авель
abel zh 亞伯
abelian fr abélien
abelian pt abeliano
abelian ru абелян
aberdeen de aberdeen
aberdeen es aberdeen
aberdeen fr aberdeen
aberdeen ja アバディーン
aberdeen pt aberdeen
aberdeen ru абердин
aberdeen vi aberdeen
aberdeen zh 阿伯丁
aberdeenshire ar أبردينشاير
aberdeenshire de aberdeenshire
aberdeenshire es aberdeenshire
aberdeenshire fr aberdeenshire
aberdeenshire ja アバディーンシャー
aberdeenshire pt aberdeenshire
aberdeenshire ru абердиншир
aberdeenshire zh 阿伯丁郡
aberystwyth ar آبريستويث
aberystwyth de aberystwyth
aberystwyth es aberystwyth
aberystwyth fr aberystwyth
aberystwyth ja アベリストウィス
aberystwyth pt aberystwyth
aberystwyth ru аберистуит
aberystwyth zh 阿伯里斯特威斯
